HEAD	0050569A00831ED38FF80463DB76834A	0100004441	INTF0 28.10.2013 12:00	921,95	JPY	INTF0	APPROVED	28.10.2013 12:00:24	INTF0	28.10.2013 12:10:00	OMGR11	28.10.2013 12:10:00	GMT,,,,,,
ITEM	0050569A00831ED38FF8095B07FEC34A	0050569A00831ED38FF80463DB76834A	0000000001	2000010861	0000000001	Safety shoe - Stalex 888 - sizes 35-45	1710	1710_PG_01	IT	DEMO2		46181605				01	IKEA_LOCAL_TESTVIEW	46181605		05.11.2013	15,000	64,00	1	PAA	64,00	0,00	0,00		X		CC2222			RECALLED			INTF0	0000011546	0000011547			,,
ACC	0050569A00831ED38FF8095B0800E34A	0050569A00831ED38FF8095B07FEC34A	0001	EL8	100.00	0000007384	CC0001		RET16STO020				,,,,,,,
APP	0050569A00831ED38FF80463DB76834A	001	Financial Approval	COMPLETED	APPROVED	OMGR11	28.10.2013 12:07:22	28.10.2013 12:09:56	CET,,,,,,,
HEAD	0050569A00831ED38FFAF360EEB7634A	0100004442	INTF0 28.10.2013 14:48	1.229,26	JPY	INTF0	AWAITING APPROVAL	28.10.2013 14:48:27	INTF0	28.10.2013 14:55:52	OMGR11		GMT,,,,,,
ITEM	0050569A00831ED38FFAF6E42430834A	0050569A00831ED38FFAF360EEB7634A	0000000001		0000000000	Safety shoe - Stalex 888 - sizes 35-45	1710	1710_PG_01	IT	DEMO2		46181605				01	IKEA_LOCAL_TESTVIEW	46181605		05.11.2013	20,000	64,00	1	PAA	64,00	0,00	0,00				CC2222			AWAITING APPROVAL			INTF0	0000011546	0000011547			,,
ACC	0050569A00831ED38FFAF6E42432A34A	0050569A00831ED38FFAF6E42430834A	0001	EL8	100.00	0000007384	CC0016		RET16STO020				,,,,,,,
APP	0050569A00831ED38FFAF360EEB7634A	001	Financial Approval	COMPLETED	APPROVED	OMGR11	28.10.2013 14:49:27	28.10.2013 14:55:52	CET,,,,,,,
APP	0050569A00831ED38FFAF360EEB7634A	002	Financial Approval	ACTIVE	OPEN	OMGR26	28.10.2013 14:55:54		CET,,,,,,,
HEAD	0050569A00831ED3908DF570C0C4234A	0100004443	LUSER52 29.10.2013 08:56	241,60	KRW	LUSER52	APPROVED	29.10.2013 08:56:54	LUSER52	29.10.2013 09:00:35	OMGR14	29.10.2013 09:00:35	GMT,,,,,,
ITEM	0050569A00831ED3908DF86225BAE34A	0050569A00831ED3908DF570C0C4234A	0000000001	2000010863	0000000001	Princess cake - 10, 15 or 20 servings	1710	1710_PG_01	IT	DEMO12		50182001				01	IKEA_LOCAL_TESTVIEW	50182001		30.10.2013	1,000	20,00	1	EA	20,00	0,00	0,00		X		CAKE1			APPROVED			LUSER52	0000011537	0000011532			,
ACC	0050569A00831ED3908DF86225BD034A	0050569A00831ED3908DF86225BAE34A	0001	EL8	100.00	0000004011	CC0004		RET16STO020				,,,,,,,
APP	0050569A00831ED3908DF570C0C4234A	001	Financial Approval	COMPLETED	APPROVED	OMGR14	29.10.2013 08:58:09	29.10.2013 09:00:33	CET,,,,,,,
HEAD	0050569A00831ED390930CC9410D634A	0100004447	LUSER52 29.10.2013 13:48	241,60	KRW	LUSER52	APPROVED	29.10.2013 13:48:35	LUSER52	29.10.2013 13:50:07	OMGR14	29.10.2013 13:50:07	GMT,,,,,,
ITEM	0050569A00831ED390930F755291634A	0050569A00831ED390930CC9410D634A	0000000001	2000010864	0000000001	Princess cake - 10, 15 or 20 servings	1710	1710_PG_01	IT	DEMO12		50182001				01	IKEA_LOCAL_TESTVIEW	50182001		30.10.2013	1,000	20,00	1	EA	20,00	0,00	0,00		X		CAKE1			APPROVED			LUSER52	0000011537	0000011521			,
ACC	0050569A00831ED390930F755293834A	0050569A00831ED390930F755291634A	0001	EL8	100.00	0000004011	CC0004		RET16STO020				,,,,,,,
APP	0050569A00831ED390930CC9410D634A	001	Financial Approval	COMPLETED	APPROVED	OMGR14	29.10.2013 13:49:19	29.10.2013 13:50:04	CET,,,,,,,
HEAD	0050569A00831ED39094CB8E9854834A	0100004449	TESTSHOPPER 29.10.2013 15:28	1.023,75	JPY	TESTSHOPPER	ACCEPT CHANGES	29.10.2013 15:28:24	INTF0	29.10.2013 16:02:51	OMGR11		GMT,,,,,,
ITEM	0050569A00831ED39094D37D1567C34A	0050569A00831ED39094CB8E9854834A	0000000001		0000000000	Small Department Copier - AR-M207 - 20pp	1710	1710_PG_02	IT	DEMO4		43212105				01	IKEA_LOCAL_TESTVIEW	43212105		13.11.2013	1,000	1.066,00	1	EA	1.066,00	0,00	0,00				PP1122			INQUIRED			TESTSHOPPER	0000059565	0000011547			,,
ITEM	0050569A00831ED39094D37D156AA34A	0050569A00831ED39094CB8E9854834A	0000000002		0000000000	Toner - For Small Department Copier AR-M	1710	1710_PG_01	IT	DEMO4		44103103				01	IKEA_LOCAL_TESTVIEW	44103103		13.11.2013	1,000	0,01	1	EA	0,01	0,00	0,00				PP1144-M			INQUIRED			TESTSHOPPER	0000059565	0000011547			,,
ACC	0050569A00831ED39094D37D1569E34A	0050569A00831ED39094D37D1567C34A	0001	EL8	100.00	0000001623	CC0001		RET16STO020				,,,,,,,
ACC	0050569A00831ED39094D37D156C434A	0050569A00831ED39094D37D156AA34A	0001	EL8	100.00	0000006111	CC0001		RET16STO020				,,,,,,,
APP	0050569A00831ED39094CB8E9854834A	001	Financial Approval	ACTIVE	INQUIRED	OMGR11	29.10.2013 15:30:59	29.10.2013 16:02:52	CET,,,,,,,
APP	0050569A00831ED39094CB8E9854834A	999	Requestor Approval	ACTIVE	ACCEPT CHANGES	TESTSHOPPER	29.10.2013 16:02:52		CET,,,,,,,
HEAD	0050569A00831ED3909511CEC5E2A34A	0100004450	ELAL 29.10.2013 15:44	0,01	JPY	ELAL	APPROVED	29.10.2013 15:44:06	INTF0	29.10.2013 16:05:21	CLIN	29.10.2013 16:05:21	GMT,,,,,,
ITEM	0050569A00831ED390951733FC29634A	0050569A00831ED3909511CEC5E2A34A	0000000001	2000010865	0000000001	Toner - For Small Department Copier AR-M	1720	1720_PG	IT	DEMO4		44103103				01	IKEA_LOCAL_TESTVIEW	44103103		13.11.2013	1,000	0,01	1	EA	0,01	0,00	0,00		X		PP1144-M			RECALLED			ELAL	0000011563	0000011563			,,
ACC	0050569A00831ED390951733FC2B834A	0050569A00831ED390951733FC29634A	0001	EL8	100.00	0000001614	CC7000		RET22SO012				,,,,,,,
APP	0050569A00831ED3909511CEC5E2A34A	001	Financial Approval	COMPLETED	APPROVED	CLIN	29.10.2013 15:46:18	29.10.2013 16:05:19	CET,,,,,,,
HEAD	0050569A00831ED390979687A9F8434A	0100004451	ABBA 29.10.2013 18:08	1.023,75	JPY	ABBA	AWAITING APPROVAL	29.10.2013 18:08:20	INTF0	29.10.2013 18:08:20	INTF0		GMT,,,,,,
